bit_length,request_time,quality_id
534432,32623.178024087,424520
458872,32628.363402103,424520
420928,32629.104208163,424520
455320,32629.784367915,424520
466072,32630.519950921,424520
520520,32631.272377103,424520
492904,32632.112784811,424520
482888,32632.908626435,424520
492168,32633.688475273,424520
480392,32639.228765625,424520
355000,32640.005053052,424520
456192,32640.579253969,424520
361376,32641.316607509,424520
324792,32641.900693791,424520
322344,32642.425910031,424520
440480,32642.94715777,424520
409752,32643.658705299,424520
441936,32648.863840577,424520
450152,32654.053423901,424520
431864,32654.780147745,424520
453200,32655.47773736,424520
503088,32656.209474331,424520
294544,32657.021558316,424520
247776,32657.497502632,424520
302368,32657.898024342,424520
409912,32658.386730313,424520
255152,32663.603734656,424520
275384,32664.016831385,424520
398304,32664.461983933,424520
326256,32665.105337798,424520
403544,32665.632593661,424520
323000,32666.28463754,424520
413064,32666.806897622,424520
347168,32667.473952649,424520
375472,32668.03485397,424520
272504,32673.364286958,424520
387280,32673.804786695,424520
389144,32674.430349598,424520
443352,32675.058609893,424520
472544,32675.774635206,424520
264432,32676.537618018,424520
254472,32676.96524536,424520
387080,32677.376778618,424520
357048,32678.001962627,424520
467680,32678.579471721,424520
283256,32683.872240645,424520
445272,32684.329998668,424520
362176,32685.049406683,352546
339944,32685.635240003,352546
330600,32686.184945338,352546
375352,32686.719934777,352546
372912,32687.326982161,352546
345264,32687.92989303,352546
375872,32688.488457573,352546
370312,32693.603784918,352546
390856,32694.202980137,352546
348384,32694.834997449,352546
338232,32695.397651373,352546
376048,32695.944126418,352546
388016,32696.55165655,352546
468216,32697.178624346,352546
303144,32697.935765064,352546
342976,32698.42675965,352546
386488,32703.733837118,352546
421416,32704.358845422,352546
309168,32705.039313278,352546
343792,32705.538798998,352546
434544,32706.09425746,352546
336264,32706.796024534,352546
354528,32707.339305537,352546
413096,32707.912061847,352546
370512,32708.579246835,352546
390720,32713.763429334,352546
482664,32714.394266077,352546
290280,32715.173425025,352546
344440,32715.643130097,352546
415976,32716.200363074,352546
352976,32716.872198598,352546
329296,32717.442609767,352546
344416,32717.97550045,352546
363576,32718.532313198,352546
204352,32723.637806965,352546
431344,32723.968317689,352546
360424,32724.665411562,352546
460592,32725.248984935,352546
303608,32725.993404919,352546
356048,32726.484092064,352546
361752,32727.059405941,352546
352256,32727.643446167,352546
341360,32728.212886502,352546
363592,32733.323441899,352546
375480,32733.910843932,352546
364480,32734.517470156,352546
387128,32735.106726351,352546
267560,32735.732834233,352546
263152,32736.165750137,352546
430816,32736.592014271,352546
391936,32737.288146304,352546
397480,32737.922098892,352546
379904,32738.564223634,352546
349048,32743.663324151,352546
48448,32744.227782071,352546
354408,32744.313625405,352546
265424,32744.886196393,352546
378368,32745.315582543,352546
383632,32745.927841389,352546
423136,32746.547884994,352546
356920,32747.231283618,352546
378048,32747.807928226,352546
378040,32748.41884969,352546
368096,32753.533275968,352546
355264,32754.128124959,352546
212984,32754.702354932,352546
277864,32755.046690706,352546
354904,32755.495935719,352546
376520,32756.069337736,352546
372208,32756.677789184,352546
340424,32757.279155632,352546
384072,32757.82920157,352546
355768,32758.449757318,352546
360696,32763.539289572,352546
273744,32764.122138582,352546
163344,32764.564582566,352546
200608,32764.829560379,352546
303024,32765.15506327,352546
312824,32765.644920609,352546
341200,32766.150357714,352546
350592,32766.701731515,352546
352536,32767.268005956,352546
227136,32767.838152056,352546
270280,32768.206406882,352546
318224,32773.273561793,352546
293752,32773.788673826,352546
301312,32774.26363584,352546
277968,32774.750771801,352546
298104,32775.200945058,352546
256752,32775.682529245,352546
297520,32776.097773024,352546
286936,32776.578793159,352546
366072,32777.043223599,352546
409944,32777.635538342,352546
392256,32778.297817324,352546
398136,32783.42336483,352546
405592,32784.066547075,352546
399408,32784.721763427,352546
394848,32785.367090332,352546
391720,32786.005766049,352546
408472,32786.638570873,352546
392400,32787.298587231,352546
385544,32787.933919287,352546
387824,32788.557891117,352546
396168,32793.703441806,352546
392712,32794.343338383,352546
402552,32794.977866119,352546
388480,32795.628188699,352546
419072,32796.255749545,352546
370296,32796.933123847,352546
390760,32797.532170491,352546
372904,32798.163391033,352546
418088,32803.26819359,352546
367136,32803.943519277,352546
386704,32804.537080306,352546
417896,32805.161939292,352546
331040,32805.837179489,352546
378192,32806.372098156,352546
401448,32806.983547523,352546
385752,32807.632935488,352546
381328,32808.25706154,352546
379648,32813.363357096,352546
377280,32813.977047619,352546
384160,32814.587856457,352546
399512,32815.208625487,352546
397472,32815.854011769,352546
385888,32816.496098509,352546
389576,32817.119681148,352546
376144,32817.749164274,352546
386800,32818.356983396,352546
387792,32823.46378514,352546
369968,32824.091145183,352546
362776,32824.68901145,352546
352704,32825.275320957,352546
366024,32825.845098069,352546
374576,32826.436460565,352546
374392,32827.042146998,352546
357712,32827.648081408,352546
357368,32828.226369276,352546
358352,32833.341555419,352546
359840,32833.921663674,352546
357208,32834.503294715,352546
356688,32835.080812757,352546
357080,32835.657595749,352546
380536,32836.23462405,352546
366848,32836.8495555,352546
387272,32837.442387029,352546
380640,32838.068493486,352546
400912,32843.287981704,352546
372504,32843.935875063,352546
383968,32844.538276998,352546
359448,32845.159703056,352546
358632,32845.740449201,352546
360304,32846.319978213,352546
359136,32846.902299025,352546
360832,32847.482765289,352546
364936,32848.067233571,352546
369760,32848.658198214,352546
372800,32853.761697764,352546
377872,32854.364215921,352546
378352,32854.976330061,352546
370472,32855.589276873,352546
323448,32856.188166242,352546
366160,32856.711102479,352546
372664,32857.302756388,352546
381480,32857.905106859,352546
366792,32858.5218277,352546
317184,32863.613343931,352546
385920,32864.234442526,352546
322904,32864.858432584,352546
217704,32865.381607639,352546
290320,32865.7348925,352546
60928,32866.20423424,352546
147008,32866.303710529,352546
286480,32866.542325072,352546
287224,32867.006038557,352546
270040,32867.471257304,352546
168496,32867.907967285,352546
145888,32868.180897363,352546
142952,32871.290458661,352546
266112,32874.33767323,352546
291120,32874.511856352,352546
277216,32874.591207408,352546
299960,32874.750002873,352546
311192,32874.847908106,352546
323928,32874.915077301,352546
356568,32875.094521098,352546
288896,32875.22936695,352546
153760,32875.557518165,352546
0,32876.005983165,352546
